0,1,2,3,4,target
1.4628,1.4754,1.4671,1.478,1.4776,1.486
1.4754,1.4671,1.478,1.4776,1.486,1.486
1.4671,1.478,1.4776,1.486,1.486,1.4798
1.478,1.4776,1.486,1.486,1.4798,1.4829
1.4776,1.486,1.486,1.4798,1.4829,1.4647
1.486,1.486,1.4798,1.4829,1.4647,1.463
1.486,1.4798,1.4829,1.4647,1.463,1.4485
1.4798,1.4829,1.4647,1.463,1.4485,1.4512
1.4829,1.4647,1.463,1.4485,1.4512,1.4518
1.4647,1.463,1.4485,1.4512,1.4518,1.4583
1.463,1.4485,1.4512,1.4518,1.4583,1.4573
1.4485,1.4512,1.4518,1.4583,1.4573,1.4642
1.4512,1.4518,1.4583,1.4573,1.4642,1.4678
1.4518,1.4583,1.4573,1.4642,1.4678,1.4655
1.4583,1.4573,1.4642,1.4678,1.4655,1.4725
1.4573,1.4642,1.4678,1.4655,1.4725,1.4714
1.4642,1.4678,1.4655,1.4725,1.4714,1.4813
1.4678,1.4655,1.4725,1.4714,1.4813,1.4831
1.4655,1.4725,1.4714,1.4813,1.4831,1.4829
1.4725,1.4714,1.4813,1.4831,1.4829,1.4974
1.4714,1.4813,1.4831,1.4829,1.4974,1.512
1.4813,1.4831,1.4829,1.4974,1.512,1.5192
1.4831,1.4829,1.4974,1.512,1.5192,1.518
1.4829,1.4974,1.512,1.5192,1.518,1.5203
1.4974,1.512,1.5192,1.518,1.5203,1.5216
1.512,1.5192,1.518,1.5203,1.5216,1.5263
1.5192,1.518,1.5203,1.5216,1.5263,1.538
1.518,1.5203,1.5216,1.5263,1.538,1.5347
1.5203,1.5216,1.5263,1.538,1.5347,1.5343
1.5216,1.5263,1.538,1.5347,1.5343,1.5337
1.5263,1.538,1.5347,1.5343,1.5337,1.555
1.538,1.5347,1.5343,1.5337,1.555,1.5635
1.5347,1.5343,1.5337,1.555,1.5635,1.567
1.5343,1.5337,1.555,1.5635,1.567,1.5728
1.5337,1.555,1.5635,1.567,1.5728,1.5625
1.555,1.5635,1.567,1.5728,1.5625,1.5625
1.5635,1.567,1.5728,1.5625,1.5625,1.5427
1.567,1.5728,1.5625,1.5625,1.5427,1.5438
1.5728,1.5625,1.5625,1.5427,1.5438,1.5422
1.5625,1.5625,1.5427,1.5438,1.5422,1.5649
1.5625,1.5427,1.5438,1.5422,1.5649,1.5848
1.5427,1.5438,1.5422,1.5649,1.5848,1.5778
1.5438,1.5422,1.5649,1.5848,1.5778,1.5804
1.5422,1.5649,1.5848,1.5778,1.5804,1.5788
1.5649,1.5848,1.5778,1.5804,1.5788,1.5612
1.5848,1.5778,1.5804,1.5788,1.5612,1.5685
1.5778,1.5804,1.5788,1.5612,1.5685,1.5683
1.5804,1.5788,1.5612,1.5685,1.5683,1.573
1.5788,1.5612,1.5685,1.5683,1.573,1.571
1.5612,1.5685,1.5683,1.573,1.571,1.5712
1.5685,1.5683,1.573,1.571,1.5712,1.5831
1.5683,1.573,1.571,1.5712,1.5831,1.5742
1.573,1.571,1.5712,1.5831,1.5742,1.5826
1.571,1.5712,1.5831,1.5742,1.5826,1.5831
1.5712,1.5831,1.5742,1.5826,1.5831,1.5789
1.5831,1.5742,1.5826,1.5831,1.5789,1.5947
1.5742,1.5826,1.5831,1.5789,1.5947,1.5908
1.5826,1.5831,1.5789,1.5947,1.5908,1.5809
1.5831,1.5789,1.5947,1.5908,1.5809,1.5911
1.5789,1.5947,1.5908,1.5809,1.5911,1.5991
1.5947,1.5908,1.5809,1.5911,1.5991,1.5889
1.5908,1.5809,1.5911,1.5991,1.5889,1.5683
1.5809,1.5911,1.5991,1.5889,1.5683,1.5592
1.5911,1.5991,1.5889,1.5683,1.5592,1.5656
1.5991,1.5889,1.5683,1.5592,1.5656,1.5572
1.5889,1.5683,1.5592,1.5656,1.5572,1.5622
1.5683,1.5592,1.5656,1.5572,1.5622,1.5474
1.5592,1.5656,1.5572,1.5622,1.5474,1.5413
1.5656,1.5572,1.5622,1.5474,1.5413,1.5495
1.5572,1.5622,1.5474,1.5413,1.5495,1.5532
1.5622,1.5474,1.5413,1.5495,1.5532,1.5392
1.5474,1.5413,1.5495,1.5532,1.5392,1.5393
1.5413,1.5495,1.5532,1.5392,1.5393,1.5481
1.5495,1.5532,1.5392,1.5393,1.5481,1.5553
1.5532,1.5392,1.5393,1.5481,1.5553,1.5474
1.5392,1.5393,1.5481,1.5553,1.5474,1.5474
1.5393,1.5481,1.5553,1.5474,1.5474,1.5448
1.5481,1.5553,1.5474,1.5474,1.5448,1.5594
1.5553,1.5474,1.5474,1.5448,1.5594,1.551
1.5474,1.5474,1.5448,1.5594,1.551,1.5645
1.5474,1.5448,1.5594,1.551,1.5645,1.5794
1.5448,1.5594,1.551,1.5645,1.5794,1.5732
1.5594,1.551,1.5645,1.5794,1.5732,1.5774
1.551,1.5645,1.5794,1.5732,1.5774,1.5769
1.5645,1.5794,1.5732,1.5774,1.5769,1.5691
1.5794,1.5732,1.5774,1.5769,1.5691,1.5636
1.5732,1.5774,1.5769,1.5691,1.5636,1.5519
1.5774,1.5769,1.5691,1.5636,1.5519,1.5557
1.5769,1.5691,1.5636,1.5519,1.5557,1.5536
1.5691,1.5636,1.5519,1.5557,1.5536,1.5444
1.5636,1.5519,1.5557,1.5536,1.5444,1.5439
1.5519,1.5557,1.5536,1.5444,1.5439,1.5592
1.5557,1.5536,1.5444,1.5439,1.5592,1.5769
1.5536,1.5444,1.5439,1.5592,1.5769,1.5646
1.5444,1.5439,1.5592,1.5769,1.5646,1.5467
1.5439,1.5592,1.5769,1.5646,1.5467,1.5551
1.5592,1.5769,1.5646,1.5467,1.5551,1.5438
1.5769,1.5646,1.5467,1.5551,1.5438,1.5363
